Document,Topic,Name,Representation
"this could be the biggest tariffrelated market mover over the next two weeks does the eu fold and go along with what ever trump wants

right now betting markets are nearly dead even at  ",-1,-1_the_and_trump_to,"['the', 'and', 'trump', 'to', 'tariff', 'is', 'of', 'in', 'he', 'for']"
 when is he going to win it as far as i see he won nothing we the people in the us are being slapped with a  tariff tax who is winning we are not winning at all its a  loss of everything we buy,-1,-1_the_and_trump_to,"['the', 'and', 'trump', 'to', 'tariff', 'is', 'of', 'in', 'he', 'for']"
it is our onus to stand against this financial tariff disaster icant help but think trump is listening to his own rhetoric on a tape in his head rather than hearing us when are we going to stop this madnessthe entire world is turning on us while laughing  buy a vowel trump,-1,-1_the_and_trump_to,"['the', 'and', 'trump', 'to', 'tariff', 'is', 'of', 'in', 'he', 'for']"
  beijing doesnt know what to talk about with the trumps tariff chinas exports to usa are daily necessities which are no longer produced in usa  billion is industrial intermediaries for us manufacturing industryless than  billion is from us company in china,-1,-1_the_and_trump_to,"['the', 'and', 'trump', 'to', 'tariff', 'is', 'of', 'in', 'he', 'for']"
"   and trumps tariffs are killing the market he has and continues to lie about who pays an import tariff
do you know who pays an import tariff the importer that cost then gets passed on down the supply chain ending at the consumer that is economics 
tariffs dont work",-1,-1_the_and_trump_to,"['the', 'and', 'trump', 'to', 'tariff', 'is', 'of', 'in', 'he', 'for']"
 because the average person dont understand about what is going on tariff are a good thing to stop countries like china and india from taking advantage of the us,0,0_us_they_countries_pay,"['us', 'they', 'countries', 'pay', 'you', 'we', 'other', 'them', 'the', 'if']"
   you dont know what our allies have been tariffing us so just stop i was never misled but tbf i didnt have to bother with politics until that dementia patient was in charge if you wanna root against him be my guest im optimistic thats just me idc if the tariff is shown,0,0_us_they_countries_pay,"['us', 'they', 'countries', 'pay', 'you', 'we', 'other', 'them', 'the', 'if']"
  i dont care why they did what they did ive seen their tariff numbers that they have had against us for decades we finally tariff them back and they completely melt down and decided trade war was better than negotiating a fair trade deal let em replace us in any way they see,0,0_us_they_countries_pay,"['us', 'they', 'countries', 'pay', 'you', 'we', 'other', 'them', 'the', 'if']"
Ê you have to be kidding do you have any idea how tariffs work tariff increase import price businesses will not eat the cost so pass it to consumers your consumers pay the extra you lose but the government collect the tax tariff from you countries allign with anyone but us,0,0_us_they_countries_pay,"['us', 'they', 'countries', 'pay', 'you', 'we', 'other', 'them', 'the', 'if']"
  must be one of the tariff nego points dorang kena settle ngan us right now,0,0_us_they_countries_pay,"['us', 'they', 'countries', 'pay', 'you', 'we', 'other', 'them', 'the', 'if']"
no us companies operating in china shifting production back to the us amid tariff pressure amcham  another one for your stupid lying face trump,1,1_china_chinese_chinas_us,"['china', 'chinese', 'chinas', 'us', 'goods', 'war', 'they', 'pay', 'the', 'is']"
    the us has gone mad trying to keep its hegemony trump knows he cant handle china be it in tariff hot or space wars chinas just giving a friendly reminder space is for all and china will fight for peace to safeguard humanity,1,1_china_chinese_chinas_us,"['china', 'chinese', 'chinas', 'us', 'goods', 'war', 'they', 'pay', 'the', 'is']"
china  doesnt buy us lng  but buys lng the us lng will go anywhere else spice flows natgas is tariffproof ,1,1_china_chinese_chinas_us,"['china', 'chinese', 'chinas', 'us', 'goods', 'war', 'they', 'pay', 'the', 'is']"
"      in this scenario you are assuming the end consumer is buying something directly from china there are usually businesses in between

businesses typically split tariff costs

hey  in general will us consumers have to pay the entire  tariff",1,1_china_chinese_chinas_us,"['china', 'chinese', 'chinas', 'us', 'goods', 'war', 'they', 'pay', 'the', 'is']"
china forget tariffs pay my citation and  tariff will will stay us wide across the board,1,1_china_chinese_chinas_us,"['china', 'chinese', 'chinas', 'us', 'goods', 'war', 'they', 'pay', 'the', 'is']"
"finance news stocks investing economy markets stockmarket family offices are moving money out of the us on tariff economic fears
",2,2_sampp_stock_stocks_nasdaq,"['sampp', 'stock', 'stocks', 'nasdaq', 'market', 'futures', 'markets', 'points', 'investors', 'rally']"
